"Time","ingress"
1652860265000,157.08777659290857
1652860270000,157.08777659290857
1652860275000,166.87010735480433
1652860280000,166.87010735480433
1652860285000,166.87010735480433
1652860290000,146.13223333333335
1652860295000,146.13223333333335
1652860300000,146.13223333333335
1652860305000,156.37559170611374
1652860310000,156.37559170611374
1652860315000,156.37559170611374
1652860320000,155.36526666666666
1652860325000,155.36526666666666
1652860330000,155.36526666666666
1652860335000,148.79406666666665
1652860340000,148.79406666666665
1652860345000,148.79406666666665
1652860350000,153.35594801732756
1652860355000,153.35594801732756
1652860360000,153.35594801732756
1652860365000,158.39603894371834
1652860370000,158.39603894371834
1652860375000,158.39603894371834
1652860380000,152.46016401093405
1652860385000,152.46016401093405
1652860390000,152.46016401093405
1652860395000,156.18079999999998
1652860400000,156.18079999999998
1652860405000,156.18079999999998
1652860410000,158.22505498900222
1652860415000,158.22505498900222
1652860420000,158.22505498900222
1652860425000,155.8570904726982
1652860430000,155.8570904726982
1652860435000,155.8570904726982
1652860440000,157.94445926123484
1652860445000,157.94445926123484
1652860450000,157.94445926123484
1652860455000,154.52379841343907
1652860460000,154.52379841343907
1652860465000,154.52379841343907
1652860470000,163.18820000000002
1652860475000,163.18820000000002
1652860480000,163.18820000000002
1652860485000,158.3717581172078
1652860490000,158.3717581172078
1652860495000,158.3717581172078
1652860500000,160.2342864760381
1652860505000,160.2342864760381
1652860510000,160.2342864760381
1652860515000,155.58154964326198
1652860520000,155.58154964326198
1652860525000,155.58154964326198
1652860530000,154.5341
1652860535000,154.5341
1652860540000,154.5341
1652860545000,149.56528694261146
1652860550000,149.56528694261146
1652860555000,149.56528694261146
1652860560000,153.1410282056411
1652860565000,153.1410282056411

