Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,5011,5011,20,37.50889281400486,9.311845991760492,605.8700010180473,0.0,5.92552277221405,5.92552277221405,20,31,42,51,83,120,170,240,460,610,610
GET,/productpage,25036,0,92,157.0764659481508,22.657121066004038,2342.822760809213,4952.849137242371,29.60514630316323,0.0,92,120,170,210,330,470,810,1000,1900,2100,2300
,Aggregated,30047,5011,82,137.1359358128559,9.311845991760492,2342.822760809213,4126.852298066363,35.53066907537728,5.92552277221405,82,110,140,180,300,430,740,970,1900,2100,2300
