"Time","total requests","successful requests","failed requests (status 5xx)","failed requests (status 4xx)"
1652860265000,121.129464416064,109.48579621616622,0,5.821834099948893
1652860270000,121.15235331956787,109.50868511967008,0,5.821834099948893
1652860275000,122.15417192186224,109.75444747129448,0,6.199862225283882
1652860280000,122.15417192186224,109.75444747129448,0,6.199862225283882
1652860285000,122.15772165052991,109.75799719996215,0,6.199862225283882
1652860290000,121.60217844037903,109.51355818749576,0,6.044310126441634
1652860295000,121.60217844037903,109.51355818749576,0,6.044310126441634
1652860300000,121.53240298363738,109.44378273075411,0,6.044310126441634
1652860305000,121.91486650665242,109.20262541855571,0,6.35612054404836
1652860310000,121.91486650665242,109.20262541855571,0,6.35612054404836
1652860315000,120.7582230837603,108.04598199566357,0,6.35612054404836
1652860320000,119.93316598027977,107.93289930768705,0,6.000133336296362
1652860325000,119.93316598027977,107.93289930768705,0,6.000133336296362
1652860330000,119.64471763283873,107.644450960246,0,6.000133336296362
1652860335000,119.77805392920088,107.19999663903887,0,6.289028645081003
1652860340000,119.77805392920088,107.19999663903887,0,6.289028645081003
1652860345000,118.66865733775681,106.0906000475948,0,6.289028645081003
1652860350000,118.10762325545048,106.55335150786686,0,5.7771358737918
1652860355000,118.10762325545048,106.55335150786686,0,5.7771358737918
1652860360000,119.50633779491758,107.952066047334,0,5.7771358737918
1652860365000,119.97663805001864,107.57691359945088,0,6.199862225283882
1652860370000,119.97663805001864,107.57691359945088,0,6.199862225283882
1652860375000,119.84591918309185,107.44619473252409,0,6.199862225283882
1652860380000,119.44684064409641,107.98017397742974,0,5.733333333333333
1652860385000,119.44684064409641,107.98017397742974,0,5.733333333333333
1652860390000,120.42156112994061,108.95489446327394,0,5.733333333333333
1652860395000,121.44846041504637,108.95818371763555,0,6.245138348705411
1652860400000,121.44846041504637,108.95818371763555,0,6.245138348705411
1652860405000,120.6275571067383,108.13728040932747,0,6.245138348705411
1652860410000,120.48768210203491,108.48821541166558,0,5.9997333451846595
1652860415000,120.48768210203491,108.48821541166558,0,5.9997333451846595
1652860420000,121.68569493706015,109.68622824669082,0,5.9997333451846595
1652860425000,122.10789839468423,110.01954676586776,0,6.0441758144082485
1652860430000,122.10789839468423,110.01954676586776,0,6.0441758144082485
1652860435000,123.17813752688032,111.08978589806382,0,6.0441758144082485
1652860440000,122.06890978885386,111.0022431221872,0,5.533333333333333
1652860445000,122.06890978885386,111.0022431221872,0,5.533333333333333
1652860450000,121.17821541756288,110.1115487508962,0,5.533333333333333
1652860455000,121.78007624100687,109.91288214349143,0,5.933597048757722
1652860460000,121.78007624100687,109.91288214349143,0,5.933597048757722
1652860465000,122.6018603395263,110.73466624201086,0,5.933597048757722
1652860470000,121.95647114137768,111.0673402718028,0,5.444565434787439
1652860475000,121.95647114137768,111.0673402718028,0,5.444565434787439
1652860480000,122.26532901963597,111.3761981500611,0,5.444565434787439
1652860485000,123.39774628322948,111.84219072767394,0,5.777777777777777
1652860490000,123.39774628322948,111.84219072767394,0,5.777777777777777
1652860495000,124.53264054952022,112.97708499396467,0,5.777777777777777
1652860500000,123.48636013729164,112.68684011595926,0,5.399760010666194
1652860505000,123.48636013729164,112.68684011595926,0,5.399760010666194
1652860510000,121.86460551870134,111.06508549736894,0,5.399760010666194
1652860515000,122.60070916156961,110.6004424889769,0,6.000133336296362
1652860520000,122.60070916156961,110.6004424889769,0,6.000133336296362
1652860525000,121.86847817215107,109.86821149955834,0,6.000133336296362
1652860530000,120.9119882748447,109.04532160817804,0,5.933333333333334
1652860535000,120.9119882748447,109.04532160817804,0,5.933333333333334
1652860540000,118.64509189501521,106.77842522834855,0,5.933333333333334
1652860545000,119.1339807839041,107.17842522834854,0,5.977777777777777
1652860550000,119.1339807839041,107.17842522834854,0,5.977777777777777
1652860555000,119.37863065570411,107.42307510014857,0,5.977777777777777
1652860560000,119.02307510014856,106.667519544593,0,6.177777777777777
1652860565000,119.02307510014856,106.667519544593,0,6.177777777777777

