"Time","ingress","proxy"
1652864580000,267.95386359090605,150.16125839251865
1652864590000,267.95386359090605,132.41346540880502
1652864600000,169.72029999999998,132.41346540880502
1652864610000,123.1521,139.47591205030773
1652864620000,123.1521,186.57666666666665
1652864630000,218.1495666666667,186.57666666666665
1652864640000,214.417,134.18140896434997
1652864650000,214.417,130.41181307029845
1652864660000,160.27089999999998,130.41181307029845
1652864670000,109.15892273848411,156.5827352467218
1652864680000,109.15892273848411,164.30263835323947
1652864690000,241.22878191879457,164.30263835323947
1652864700000,192.81883333333334,131.70408834966557
1652864710000,192.81883333333334,124.55104410817059
1652864720000,148.01263333333333,124.55104410817059
1652864730000,153.2637157522832,176.65334609058988
1652864740000,153.2637157522832,151.12767284485633
1652864750000,217.28795253016867,151.12767284485633
1652864760000,199.10273333333336,140.34675435353185
1652864770000,199.10273333333336,141.19536703510155
1652864780000,140.238368217571,141.19536703510155
1652864790000,182.92072276303506,161.998303197991
1652864800000,182.92072276303506,149.84457631713443
1652864810000,198.75144990333976,149.84457631713443
1652864820000,191.8647,124.27451572327043
1652864830000,191.8647,156.25942097385308
1652864840000,140.41256083738915,156.25942097385308
1652864850000,207.08909406039598,153.2762991816123
1652864860000,207.08909406039598,150.82786392372816
1652864870000,195.02403333333334,150.82786392372816
1652864880000,166.98169877991867,141.00163751305467
1652864890000,166.98169877991867,155.2765040799636
1652864900000,171.91493333333335,155.2765040799636
1652864910000,198.83496666666667,154.69790935485116
1652864920000,198.83496666666667,139.3816662666133
1652864930000,182.90253333333334,139.3816662666133
1652864940000,159.26183333333336,152.26504923221063
1652864950000,159.26183333333336,154.58746593700127
1652864960000,175.68037594987334,154.58746593700127
1652864970000,200.6543102873525,150.21544201247505
1652864980000,200.6543102873525,143.1954089434147
1652864990000,174.37333333333333,143.1954089434147
1652865000000,171.48279885325687,139.1256546255135
1652865010000,171.48279885325687,156.58079874213837
1652865020000,185.97356666666664,156.58079874213837
1652865030000,196.57412839144058,144.83788065240097
1652865040000,196.57412839144058,139.15095597148937
1652865050000,181.044,139.15095597148937
1652865060000,169.28851923461565,154.08823643436557
1652865070000,169.28851923461565,152.66810078241042
1652865080000,183.442403839744,152.66810078241042
1652865090000,187.20165322311846,151.84205095673855
1652865100000,187.20165322311846,148.01992445786635
1652865110000,177.96646443096208,148.01992445786635
1652865120000,171.79135275685044,148.33637967990816
1652865130000,171.79135275685044,155.7829784063869
