Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/login,33227,33227,10000.0,10027.75105336419,19.366819877177477,27497.74300167337,0.19718903301531887,6.770048557959196,6.770048557959196,10000,10000,10000,10000,10000,11000,11000,12000,21000,23000,27000
GET,/productpage,167503,771,50000.0,49780.449636040335,463.23170978575945,96291.29525506869,4927.711342483418,34.12897473752789,0.15709234773487046,50000,50000,50000,51000,51000,52000,60000,61000,83000,86000,96000
,Aggregated,200730,33998,50000.0,43200.15313922106,19.366819877177477,96291.29525506869,4112.055920888756,40.89902329548709,6.927140905694067,50000,50000,50000,50000,51000,52000,59000,61000,83000,86000,96000
