Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/productpage,29,0,11000.0,11467.198638172827,6171.063385998423,17753.160523003316,4982.275862068966,1.6320800864325482,0.0,11000,15000,15000,17000,17000,18000,18000,18000,18000,18000,18000
,Aggregated,29,0,11000.0,11467.198638172827,6171.063385998423,17753.160523003316,4982.275862068966,1.6320800864325482,0.0,11000,15000,15000,17000,17000,18000,18000,18000,18000,18000,18000
