"Time","total requests","successful requests","failed requests (status 5xx)","failed requests (status 4xx)"
1652864320000,0,0,0,0
1652864325000,0,0,0,0
1652864330000,0,0,0,0
1652864335000,0,0,0,0
1652864340000,0,0,0,0
1652864345000,0,0,0,0
1652864350000,4.377704735092833,4.377704735092833,0,0
1652864355000,27.764192542137646,5.776896313292096,0,0.022209390130147024
1652864360000,27.764192542137646,5.776896313292096,0,0.022209390130147024
1652864365000,38.65222185390185,16.664925625056288,0,0.022209390130147024
1652864370000,39.33133113143105,16.665671827400114,0,0.02222123461179503
1652864375000,39.33133113143105,16.665671827400114,0,0.02222123461179503
1652864380000,73.93115562771752,51.26549632368659,0,0.02222123461179503
1652864385000,73.93222520981016,51.2655585431435,0,0.02222222222222222
1652864390000,73.93222520981016,51.2655585431435,0,0.02222222222222222
1652864395000,72.56959719573106,49.90293052906439,0,0.02222222222222222
1652864400000,49.948210023883625,49.28115794935167,0,0
1652864405000,49.948210023883625,49.28115794935167,0,0
1652864410000,55.11644337667142,54.44939130213947,0,0
1652864415000,93.73872093867567,56.31566709303466,36.62303606746816,0.40000888908642407
1652864420000,93.73872093867567,56.31566709303466,36.62303606746816,0.40000888908642407
1652864425000,84.17957880545495,46.756524959813916,36.62303606746816,0.40000888908642407
1652864430000,93.86978876049866,49.756717068423434,36.69051957864794,3.7112760567136314
1652864435000,93.86978876049866,49.756717068423434,36.69051957864794,3.7112760567136314
1652864440000,128.33718580115615,84.22411410908096,36.69051957864794,3.7112760567136314
1652864445000,137.11145141078626,89.44584397984028,36.688073598364475,5.488766916290748
1652864450000,137.11145141078626,89.44584397984028,36.688073598364475,5.488766916290748
1652864455000,160.7154407043185,113.04983327337253,36.688073598364475,5.488766916290748
1652864460000,138.25087624878043,124.45056957529881,0.0666681481810707,6.8668192626502815
1652864465000,138.25087624878043,124.45056957529881,0.0666681481810707,6.8668192626502815
1652864470000,141.42068253897318,127.62037586549157,0.0666681481810707,6.8668192626502815
1652864475000,153.0188218039599,143.33014821892846,0,4.844336792515722
1652864480000,153.0188218039599,143.33014821892846,0,4.844336792515722
1652864485000,143.17642573502178,133.48775214999034,0,4.844336792515722
1652864490000,150.2219294151869,136.75526274852027,0,6.733333333333333
1652864495000,150.2219294151869,136.75526274852027,0,6.733333333333333
1652864500000,142.75578323550147,129.2891165688348,0,6.733333333333333
1652864505000,135.84360992577254,122.73279016621167,0,6.555409879780449
1652864510000,135.84360992577254,122.73279016621167,0,6.555409879780449
1652864515000,148.6641778451346,135.55335808557368,0,6.555409879780449
1652864520000,149.1774247589683,136.19935857971984,0,6.489033089624215
1652864525000,149.1774247589683,136.19935857971984,0,6.489033089624215
1652864530000,145.42329732079065,132.44523114154222,0,6.489033089624215
1652864535000,148.02335509985244,135.88975213089756,0,6.066801484477434
1652864540000,148.02335509985244,135.88975213089756,0,6.066801484477434
1652864545000,145.14994582165457,133.0163428526997,0,6.066801484477434
1652864550000,147.748814438488,133.65992554959914,0,7.044444444444443
1652864555000,147.748814438488,133.65992554959914,0,7.044444444444443
1652864560000,147.26394189225255,133.17505300336362,0,7.044444444444443
1652864565000,138.7962742601752,123.41883820319869,0,7.688718028488255
1652864570000,138.7962742601752,123.41883820319869,0,7.688718028488255
1652864575000,144.1551151461869,128.77767908921038,0,7.688718028488255
1652864580000,145.55611611159756,133.24500500048646,0,6.155555555555555
1652864585000,145.55611611159756,133.24500500048646,0,6.155555555555555
1652864590000,143.7850089936319,131.4738978825208,0,6.155555555555555
1652864595000,148.5194796361894,135.00806827149242,0,6.755705682348497
1652864600000,148.5194796361894,135.00806827149242,0,6.755705682348497
1652864605000,137.9401027738081,124.4286914091111,0,6.755705682348497
1652864610000,136.62896252624702,122.62865140822218,0,7.000155559012423
1652864615000,136.62896252624702,122.62865140822218,0,7.000155559012423
1652864620000,146.13444150610755,132.13413038808272,0,7.000155559012423
1652864625000,143.7111111111111,129.93333333333334,0,6.888888888888888
1652864630000,143.7111111111111,129.93333333333334,0,6.888888888888888
1652864635000,143.46638719161496,129.68860941383718,0,6.888888888888888
1652864640000,144.6886094138372,132.28860941383718,0,6.2
1652864645000,144.6886094138372,132.28860941383718,0,6.2
1652864650000,141.3748017151363,128.97480171513627,0,6.2
1652864655000,144.5748017151363,130.97480171513627,0,6.8
1652864660000,144.5748017151363,130.97480171513627,0,6.8
1652864665000,140.24140236030578,126.6414023603058,0,6.8
1652864670000,133.59595299992122,118.75183842468955,0,7.42205728761583
1652864675000,133.59595299992122,118.75183842468955,0,7.42205728761583
1652864680000,139.35455065107217,124.51043607584052,0,7.42205728761583
1652864685000,139.88888890034565,126.82222223367899,0,6.533333333333333
1652864690000,139.88888890034565,126.82222223367899,0,6.533333333333333
1652864695000,139.80247765450062,126.73581098783394,0,6.533333333333333
1652864700000,142.75803321005617,128.93581098783395,0,6.9111111111111105
1652864705000,142.75803321005617,128.93581098783395,0,6.9111111111111105
1652864710000,134.80241744492133,120.9801952226991,0,6.9111111111111105
1652864715000,137.42578043323465,123.38102388308909,0,7.02237827507278
1652864720000,137.42578043323465,123.38102388308909,0,7.02237827507278
1652864725000,141.88979163557795,127.8450350854324,0,7.02237827507278
1652864730000,137.30983410245204,122.19905878634796,0,7.555387658052043
1652864735000,137.30983410245204,122.19905878634796,0,7.555387658052043
1652864740000,141.22301981698803,126.11224450088395,0,7.555387658052043
1652864745000,141.04628102846726,128.33516991735615,0,6.355555555555555
1652864750000,141.04628102846726,128.33516991735615,0,6.355555555555555
1652864755000,143.48655375287288,130.77544264176177,0,6.355555555555555
